"Pattern","Replacement","Explanation","Date"
"*m","-ν (-n)","grec ancien","-inf"
"*m","m","latin","-inf"
"*m","m","osque","-inf"
"*m","m","gallois","-inf"
"*m","-f-","gallois","-inf"
"*m","b-","gallois, avant r, l","-inf"
"*m","-f-","gallois, avant r, l","-inf"
"*m","w","gallois, après n","-inf"
"*m","m","gaulois","-inf"
"*m","b-","gaulois, avant r, l","-inf"
"*m","v","gaulois, après n","-inf"
"*m","-n","gaulois","-inf"
"*m","m","vieil irlandais","-inf"
"*m","-n","vieil irlandais","-inf"
"*m","m","gotique","-inf"
"*m","-n","gotique","-inf"
"*m","m","norrois","-inf"
"*m","-n","norrois","-inf"
"*m","m","vieux haut allemand","-inf"
"*m","-n","vieux haut allemand","-inf"
"*m","m","anglo-saxon","-inf"
"*m","-n/-Ø","anglo-saxon","-inf"
"*m","m","albanais","-inf"
"*m","-n","albanais","-inf"
"*m","m","arménien classique","-inf"
"*m","","arménien classique, amuïssement","-inf"
"*m","m","lituanien","-inf"
"*m","-n","lituanien","-inf"
"*m","m","letton","-inf"
"*m","m","vieux-slave","-inf"
"*m","","vieux-slave, amuïssement, nasalise la voyelle précédente","-inf"
"*m","m","avestique","-inf"
"*m","m","sanskrit","-inf"
"*m","ṃ","sanskrit, avant voyelle","-inf"
"*m","m","tokharien A (tourfanien)","-inf"
"*m","-n","tokharien A (tourfanien)","-inf"
"*m","m","tokharien B (koutchéen)","-inf"
"*m","-n","tokharien B (koutchéen)","-inf"
"*m","m","hittite","-inf"
"*m","","hittite, amuïssement","-inf"
"*ṃ","αμ (am)/ α (a)","grec ancien","-inf"
"*ṃ","em","latin","-inf"
"*ṃ","em/am","osque","-inf"
"*ṃ","am","gallois","-inf"
"*ṃ","am","gaulois","-inf"
"*ṃ","am/em/é","vieil irlandais","-inf"
"*ṃ","um","gotique","-inf"
